                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9555,                 4.0596,                 4.1692,                0.00288,                 0.6955,                0.00523,                0.00168,                 2.3048,                 3.8351,                 4.1384,              0.0003625,              0.0003625,              0.0003625
                      2,                 2.8329,                 3.8284,                 3.9695,                0.00259,                0.71212,                 0.0104,                0.00305,                 2.2913,                 3.7188,                 3.9226,              0.0007302,              0.0007302,              0.0007302
                      3,                 2.6151,                 3.5993,                 3.6271,                0.00262,                0.71823,                0.01473,                0.00374,                  2.152,                 9.0705,                 3.4943,              0.0010905,              0.0010905,              0.0010905
                      4,                 2.5004,                 3.5465,                 3.3463,                0.59667,                0.18988,                0.01232,                0.00433,                   2.26,                 16.145,                 3.4848,              0.0012129,              0.0012129,              0.0012129
                      5,                 2.2739,                 3.3939,                 3.1227,                0.07343,                0.17769,                0.07516,                0.02545,                 2.1726,                  5.326,                 3.2943,              0.0012005,              0.0012005,              0.0012005
                      6,                 2.1374,                 3.2433,                 2.8929,                0.14969,                0.48745,                0.20012,                 0.0688,                 1.9355,                 4.0386,                 2.8063,              0.0011881,              0.0011881,              0.0011881
                      7,                 2.0806,                 3.0601,                 2.7673,                0.55109,                0.20161,                0.05901,                0.01765,                 1.9862,                 7.5648,                 3.0873,              0.0011757,              0.0011757,              0.0011757
                      8,                 1.9951,                 2.9285,                 2.6617,                0.27354,                0.59555,                0.33246,                0.15095,                  1.743,                 3.2109,                 2.6298,              0.0011634,              0.0011634,              0.0011634
                      9,                 1.9586,                 2.7922,                   2.59,                0.24013,                0.40176,                0.27276,                0.13564,                 1.7527,                 3.5354,                 2.6055,               0.001151,               0.001151,               0.001151
                     10,                 1.8117,                 2.5761,                 2.4877,                0.54174,                0.41496,                0.37787,                0.17787,                 1.8392,                 2.4878,                 2.7339,              0.0011386,              0.0011386,              0.0011386
                     11,                 1.7255,                 2.3936,                 2.4257,                0.37126,                0.43693,                0.38772,                0.19633,                 1.8117,                 2.4181,                 2.6392,              0.0011263,              0.0011263,              0.0011263
                     12,                 1.6606,                 2.2556,                 2.3114,                0.40416,                0.40081,                0.37278,                0.13324,                 2.0471,                 2.6658,                 2.8087,              0.0011139,              0.0011139,              0.0011139
                     13,                 1.5545,                 2.0721,                 2.2348,                0.46554,                0.55771,                0.52832,                 0.2741,                 1.6313,                 2.3471,                 2.4322,              0.0011015,              0.0011015,              0.0011015
                     14,                 1.4875,                 1.9697,                 2.1463,                0.54619,                 0.4543,                0.49539,                0.30801,                 1.4763,                 2.1754,                 2.3677,              0.0010891,              0.0010891,              0.0010891
                     15,                 1.3952,                 1.9239,                 2.0861,                0.58339,                0.53104,                0.57857,                0.35761,                 1.4561,                 1.8536,                  2.238,              0.0010768,              0.0010768,              0.0010768
                     16,                  1.385,                 1.7959,                  2.019,                0.66125,                0.57486,                0.62939,                0.39341,                 1.4117,                 1.8307,                 2.1507,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.3129,                 1.6989,                 1.9741,                0.67653,                0.61797,                0.63082,                0.36053,                 1.4738,                 1.9216,                 2.2389,               0.001052,               0.001052,               0.001052
                     18,                   1.25,                 1.6684,                 1.9144,                0.66041,                0.75521,                0.74139,                0.44623,                 1.3191,                 1.5254,                 2.0115,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.2469,                 1.5535,                  1.901,                0.71499,                0.73225,                0.78345,                0.47478,                 1.4192,                  1.479,                 2.0924,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.2073,                 1.5035,                 1.8538,                0.69437,                0.60785,                0.71642,                0.44241,                 1.3003,                 1.6316,                 1.9944,              0.0010149,              0.0010149,              0.0010149
                     21,                 1.1775,                 1.4521,                 1.8026,                0.69822,                0.69002,                0.70632,                 0.4428,                 1.3273,                 1.7077,                 1.9928,              0.0010025,              0.0010025,              0.0010025
                     22,                 1.1836,                 1.4048,                 1.8112,                0.49221,                0.59686,                0.52949,                0.30198,                 1.4473,                 2.1178,                 2.2392,             0.00099013,             0.00099013,             0.00099013
                     23,                 1.1407,                 1.4298,                 1.7908,                0.63557,                0.56703,                0.67427,                0.40916,                 1.4031,                  1.705,                 2.0375,             0.00097775,             0.00097775,             0.00097775
                     24,                 1.1007,                 1.3552,                 1.7208,                0.71942,                0.74325,                0.76553,                0.52594,                 1.1224,                 1.3564,                 1.7937,             0.00096537,             0.00096537,             0.00096537
                     25,                 1.0875,                 1.3623,                 1.7206,                0.78219,                0.83651,                0.85345,                0.56397,                 1.1455,                 1.1932,                 1.7852,               0.000953,               0.000953,               0.000953
                     26,                 1.0614,                 1.3465,                 1.6905,                0.78679,                0.75795,                 0.7917,                0.50733,                 1.2797,                 1.3594,                 1.9115,             0.00094062,             0.00094062,             0.00094062
                     27,                 1.0437,                 1.2994,                 1.6781,                0.78542,                 0.7279,                0.80694,                0.53471,                 1.1649,                 1.2981,                 1.8141,             0.00092825,             0.00092825,             0.00092825
                     28,                0.99746,                 1.2089,                 1.6328,                0.74069,                0.75538,                0.81779,                0.57037,                 1.1604,                 1.2065,                 1.8094,             0.00091588,             0.00091588,             0.00091588
                     29,                0.99947,                  1.201,                 1.6293,                0.85541,                0.78018,                0.85758,                0.59433,                 1.0921,                 1.0439,                 1.7019,              0.0009035,              0.0009035,              0.0009035
                     30,                 0.9779,                 1.1873,                 1.6275,                0.63056,                0.68487,                 0.7475,                0.52506,                 1.0331,                  1.326,                 1.6669,             0.00089112,             0.00089112,             0.00089112
                     31,                0.98284,                 1.1643,                 1.5994,                0.78868,                  0.765,                0.80937,                0.57938,                 1.0577,                 1.1352,                  1.683,             0.00087875,             0.00087875,             0.00087875
                     32,                0.91578,                 1.0805,                 1.5406,                0.73289,                0.72173,                0.80982,                0.54405,                 1.1614,                 1.1904,                  1.765,             0.00086637,             0.00086637,             0.00086637
                     33,                0.96932,                 1.1146,                 1.5714,                0.74574,                0.73752,                0.81402,                0.56574,                 1.0166,                 1.1778,                 1.6768,               0.000854,               0.000854,               0.000854
                     34,                0.91201,                 1.0734,                 1.5352,                0.74207,                0.84185,                0.87151,                0.63707,                 1.0043,                 0.9964,                 1.6141,             0.00084162,             0.00084162,             0.00084162
                     35,                0.93673,                 1.0622,                 1.5461,                 0.7457,                0.77862,                0.84219,                0.60762,                 1.0387,                 1.1049,                 1.6786,             0.00082925,             0.00082925,             0.00082925
